2023-09-04 18:39:49.477911 >> X: [100, 24], W: [-1.0, 0.33999999999999997],B: 6.01, answer: False, nreturn: True, A: -85.83
2023-09-04 18:39:49.477911 >> X: [100, 24], W: [0.0, 0.58],B: 6.02, answer: False, nreturn: False, A: 19.939999999999998
2023-09-04 18:39:49.483567 >> X: [23, 56], W: [-0.23, 0.019999999999999907],B: 5.99, answer: True, nreturn: False, A: 1.819999999999995
2023-09-04 18:39:49.484586 >> X: [23, 56], W: [-0.46, -0.5400000000000001],B: 5.98, answer: True, nreturn: True, A: -34.84
2023-09-04 18:39:49.485588 >> X: [35, 28], W: [-0.10999999999999999, -0.2600000000000001],B: 6.01, answer: False, nreturn: True, A: -5.120000000000003
2023-09-04 18:39:49.486589 >> X: [35, 28], W: [0.24000000000000005, 0.019999999999999907],B: 6.02, answer: False, nreturn: False, A: 14.979999999999999
2023-09-04 18:39:49.488582 >> X: [17, 98], W: [0.07000000000000003, -0.9600000000000001],B: 5.99, answer: True, nreturn: True, A: -86.90000000000002
2023-09-04 18:39:49.489581 >> X: [90, 47], W: [0.9700000000000001, -0.49000000000000005],B: 6.01, answer: False, nreturn: False, A: 70.28000000000002
2023-09-04 18:39:49.490582 >> X: [96, 98], W: [0.01000000000000012, -1.47],B: 5.99, answer: True, nreturn: True, A: -137.10999999999999
2023-09-04 18:39:49.490582 >> X: [72, 8], W: [0.7300000000000001, -1.39],B: 6.01, answer: False, nreturn: False, A: 47.45000000000001
2023-09-04 18:39:49.491587 >> X: [66, 50], W: [1.3900000000000001, -0.8899999999999999],B: 6.01, answer: False, nreturn: False, A: 53.250000000000014
2023-09-04 18:39:49.493850 >> X: [38, 57], W: [1.0100000000000002, -1.46],B: 5.99, answer: True, nreturn: True, A: -38.84999999999999
2023-09-04 18:39:49.495851 >> X: [34, 28], W: [1.3500000000000003, -1.18],B: 6.01, answer: False, nreturn: False, A: 18.87000000000001
2023-09-04 18:39:49.497851 >> X: [66, 68], W: [0.6900000000000003, -1.8599999999999999],B: 5.99, answer: True, nreturn: True, A: -74.94999999999997
2023-09-04 18:39:49.497851 >> X: [58, 32], W: [1.2700000000000002, -1.5399999999999998],B: 6.01, answer: False, nreturn: False, A: 30.390000000000015
2023-09-04 18:39:49.500064 >> X: [94, 82], W: [2.2100000000000004, -0.7199999999999998],B: 6.01, answer: False, nreturn: False, A: 154.71000000000004
2023-09-04 18:39:49.500064 >> X: [43, 74], W: [1.7800000000000005, -1.4599999999999997],B: 5.99, answer: True, nreturn: True, A: -25.509999999999955
2023-09-04 18:39:49.501054 >> X: [75, 84], W: [1.0300000000000005, -2.3],B: 5.99, answer: True, nreturn: True, A: -109.95999999999997
2023-09-04 18:39:49.503058 >> X: [77, 53], W: [1.8000000000000005, -1.7699999999999998],B: 6.01, answer: False, nreturn: False, A: 50.80000000000006
2023-09-04 18:39:49.504056 >> X: [11, 14], W: [1.6900000000000004, -1.9099999999999997],B: 5.99, answer: True, nreturn: True, A: -2.1599999999999913
2023-09-04 18:39:49.505056 >> X: [67, 63], W: [2.3600000000000003, -1.2799999999999998],B: 6.01, answer: False, nreturn: False, A: 83.49000000000005
2023-09-04 18:39:49.506053 >> X: [77, 79], W: [1.5900000000000003, -2.07],B: 5.99, answer: True, nreturn: True, A: -35.10999999999998
2023-09-04 18:39:49.507056 >> X: [63, 60], W: [2.22, -1.4699999999999998],B: 6.01, answer: False, nreturn: False, A: 57.67000000000002
2023-09-04 18:39:49.508056 >> X: [25, 40], W: [1.9700000000000002, -1.8699999999999997],B: 5.99, answer: True, nreturn: True, A: -19.559999999999974
2023-09-04 18:39:49.510058 >> X: [50, 53], W: [1.4700000000000002, -2.3999999999999995],B: 5.99, answer: True, nreturn: True, A: -47.70999999999996
2023-09-04 18:39:49.511341 >> X: [98, 88], W: [2.45, -1.5199999999999996],B: 6.01, answer: False, nreturn: False, A: 112.35000000000007
2023-09-04 18:39:49.512340 >> X: [84, 98], W: [1.6100000000000003, -2.4999999999999996],B: 5.99, answer: True, nreturn: True, A: -103.76999999999991
2023-09-04 18:39:49.512340 >> X: [31, 28], W: [1.9200000000000004, -2.2199999999999998],B: 6.01, answer: False, nreturn: False, A: 3.3700000000000134
2023-09-04 18:39:49.519340 >> X: [81, 73], W: [2.7300000000000004, -1.4899999999999998],B: 6.01, answer: False, nreturn: False, A: 118.37000000000005
2023-09-04 18:39:49.520342 >> X: [75, 93], W: [1.9800000000000004, -2.42],B: 5.99, answer: True, nreturn: True, A: -70.56999999999998
2023-09-04 18:39:49.522578 >> X: [76, 73], W: [2.74, -1.69],B: 6.01, answer: False, nreturn: False, A: 90.88000000000002
2023-09-04 18:39:49.524567 >> X: [55, 91], W: [2.1900000000000004, -2.6],B: 5.99, answer: True, nreturn: True, A: -110.15999999999998
2023-09-04 18:39:56.900398 - LOG_O - X: [45.0, 9.0], W: [2.1900000000000004, -2.6], B: 6, nreturn: False, answer: True, A: 81.15
